epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,4.589401721954346,4.589401721954346,8.611726760864258,8.611726760864258
1,3.4919333457946777,3.4919333457946777,7.312632083892822,7.312632083892822
2,3.212379217147827,3.212379217147827,6.862991809844971,6.862991809844971
3,3.1205241680145264,3.1205241680145264,7.0074262619018555,7.0074262619018555
4,2.985261917114258,2.985261917114258,6.575372695922852,6.575372695922852
5,2.890397071838379,2.890397071838379,6.20014762878418,6.20014762878418
6,2.847683906555176,2.847683906555176,6.228015899658203,6.228015899658203
7,2.780334711074829,2.780334711074829,6.0564775466918945,6.0564775466918945
8,2.75541353225708,2.75541353225708,5.927217960357666,5.927217960357666
9,2.694369316101074,2.694369316101074,5.878118991851807,5.878118991851807
10,2.696422815322876,2.696422815322876,5.841973781585693,5.841973781585693
11,2.6879959106445312,2.6879959106445312,6.082846164703369,6.082846164703369
12,2.663212537765503,2.663212537765503,5.880420207977295,5.880420207977295
13,2.626674175262451,2.626674175262451,6.123642921447754,6.123642921447754
14,2.5949254035949707,2.5949254035949707,6.2551493644714355,6.2551493644714355
15,2.561326742172241,2.561326742172241,5.931515216827393,5.931515216827393
16,2.5439937114715576,2.5439937114715576,5.746856212615967,5.746856212615967
17,2.515368938446045,2.515368938446045,5.754423141479492,5.754423141479492
18,2.493680000305176,2.493680000305176,5.698428630828857,5.698428630828857
19,2.491610288619995,2.491610288619995,5.945527076721191,5.945527076721191
20,2.468651533126831,2.468651533126831,5.774137020111084,5.774137020111084
21,2.4459941387176514,2.4459941387176514,5.662176132202148,5.662176132202148
22,2.42012619972229,2.42012619972229,5.838705539703369,5.838705539703369
23,2.416924476623535,2.416924476623535,5.643623352050781,5.643623352050781
24,2.393845558166504,2.393845558166504,5.322302341461182,5.322302341461182
25,2.3924005031585693,2.3924005031585693,5.629750728607178,5.629750728607178
26,2.371598720550537,2.371598720550537,5.456234931945801,5.456234931945801
27,2.371023654937744,2.371023654937744,5.630716323852539,5.630716323852539
28,2.350398063659668,2.350398063659668,5.386645317077637,5.386645317077637
29,2.34055495262146,2.34055495262146,5.279523849487305,5.279523849487305
30,2.328519105911255,2.328519105911255,5.658445358276367,5.658445358276367
31,2.3242480754852295,2.3242480754852295,5.476829528808594,5.476829528808594
32,2.3092026710510254,2.3092026710510254,5.333959579467773,5.333959579467773
33,2.3087847232818604,2.3087847232818604,5.395362854003906,5.395362854003906
34,2.2861533164978027,2.2861533164978027,5.175915241241455,5.175915241241455
35,2.2802886962890625,2.2802886962890625,5.27824592590332,5.27824592590332
36,2.2761659622192383,2.2761659622192383,5.137510776519775,5.137510776519775
37,2.2679500579833984,2.2679500579833984,5.6239495277404785,5.6239495277404785
38,2.2620952129364014,2.2620952129364014,5.379651069641113,5.379651069641113
39,2.255254030227661,2.255254030227661,5.370711326599121,5.370711326599121
40,2.248267650604248,2.248267650604248,5.330020904541016,5.330020904541016
41,2.2298219203948975,2.2298219203948975,5.113734245300293,5.113734245300293
42,2.231598377227783,2.231598377227783,5.316746711730957,5.316746711730957
43,2.216379165649414,2.216379165649414,5.285958766937256,5.285958766937256
44,2.215240955352783,2.215240955352783,5.229710578918457,5.229710578918457
45,2.227926015853882,2.227926015853882,5.254183292388916,5.254183292388916
46,2.196112632751465,2.196112632751465,5.444430351257324,5.444430351257324
47,2.209758758544922,2.209758758544922,5.150742530822754,5.150742530822754
48,2.1835832595825195,2.1835832595825195,5.213166236877441,5.213166236877441
49,2.1918842792510986,2.1918842792510986,5.049081325531006,5.049081325531006
50,2.19409441947937,2.19409441947937,5.233208179473877,5.233208179473877
51,2.1689116954803467,2.1689116954803467,5.205561637878418,5.205561637878418
52,2.170142650604248,2.170142650604248,4.972621440887451,4.972621440887451
53,2.1550991535186768,2.1550991535186768,5.213321208953857,5.213321208953857
54,2.1473121643066406,2.1473121643066406,5.295105934143066,5.295105934143066
55,2.1526401042938232,2.1526401042938232,5.402808666229248,5.402808666229248
56,2.15346097946167,2.15346097946167,5.04583215713501,5.04583215713501
57,2.1397218704223633,2.1397218704223633,5.096429824829102,5.096429824829102
58,2.1289963722229004,2.1289963722229004,5.162332534790039,5.162332534790039
59,2.1240406036376953,2.1240406036376953,5.163320541381836,5.163320541381836
60,2.118863821029663,2.118863821029663,5.069569110870361,5.069569110870361
61,2.1215951442718506,2.1215951442718506,4.966366767883301,4.966366767883301
62,2.114014148712158,2.114014148712158,5.213549613952637,5.213549613952637
63,2.1033356189727783,2.1033356189727783,5.093740463256836,5.093740463256836
64,2.1005043983459473,2.1005043983459473,5.063973903656006,5.063973903656006
65,2.0967276096343994,2.0967276096343994,5.108293533325195,5.108293533325195
66,2.0924072265625,2.0924072265625,5.332609176635742,5.332609176635742
67,2.0979909896850586,2.0979909896850586,5.177707195281982,5.177707195281982
68,2.078758716583252,2.078758716583252,5.19792366027832,5.19792366027832
69,2.0711638927459717,2.0711638927459717,5.0844340324401855,5.0844340324401855
70,2.069967031478882,2.069967031478882,4.9624128341674805,4.9624128341674805
71,2.067972421646118,2.067972421646118,5.1398725509643555,5.1398725509643555
72,2.0619654655456543,2.0619654655456543,5.0258049964904785,5.0258049964904785
73,2.059581995010376,2.059581995010376,5.067392826080322,5.067392826080322
74,2.056346893310547,2.056346893310547,5.078187465667725,5.078187465667725
75,2.0659258365631104,2.0659258365631104,4.966358184814453,4.966358184814453
76,2.0400094985961914,2.0400094985961914,5.098745822906494,5.098745822906494
77,2.047551155090332,2.047551155090332,5.00576114654541,5.00576114654541
78,2.040621042251587,2.040621042251587,4.978708744049072,4.978708744049072
79,2.04154634475708,2.04154634475708,5.163949012756348,5.163949012756348
80,2.036226987838745,2.036226987838745,5.1839423179626465,5.1839423179626465
81,2.0256683826446533,2.0256683826446533,4.898828029632568,4.898828029632568
82,2.0326952934265137,2.0326952934265137,5.039830684661865,5.039830684661865
83,2.017019510269165,2.017019510269165,4.976322650909424,4.976322650909424
84,2.0148231983184814,2.0148231983184814,5.0290751457214355,5.0290751457214355
85,2.0133869647979736,2.0133869647979736,5.016040802001953,5.016040802001953
86,2.0072507858276367,2.0072507858276367,5.007901191711426,5.007901191711426
87,2.0043904781341553,2.0043904781341553,5.176135540008545,5.176135540008545
88,2.0073306560516357,2.0073306560516357,5.208012580871582,5.208012580871582
89,1.9976426362991333,1.9976426362991333,5.514572620391846,5.514572620391846
90,1.9924026727676392,1.9924026727676392,4.968764781951904,4.968764781951904
91,2.0108861923217773,2.0108861923217773,4.89677619934082,4.89677619934082
92,1.9865034818649292,1.9865034818649292,4.998971939086914,4.998971939086914
93,1.9811209440231323,1.9811209440231323,4.960814952850342,4.960814952850342
94,1.978147268295288,1.978147268295288,5.014737129211426,5.014737129211426
95,1.9785492420196533,1.9785492420196533,5.034262180328369,5.034262180328369
96,1.9803743362426758,1.9803743362426758,5.092407703399658,5.092407703399658
97,1.9686082601547241,1.9686082601547241,5.046178817749023,5.046178817749023
98,1.972367525100708,1.972367525100708,4.901757717132568,4.901757717132568
99,1.9600780010223389,1.9600780010223389,4.910451412200928,4.910451412200928
100,1.9602879285812378,1.9602879285812378,4.87244987487793,4.87244987487793
101,1.9573756456375122,1.9573756456375122,5.155604362487793,5.155604362487793
102,1.9576032161712646,1.9576032161712646,5.114180088043213,5.114180088043213
103,1.9531654119491577,1.9531654119491577,4.98318338394165,4.98318338394165
104,1.9465348720550537,1.9465348720550537,5.0058674812316895,5.0058674812316895
105,1.946334958076477,1.946334958076477,4.853219509124756,4.853219509124756
106,1.9402261972427368,1.9402261972427368,4.9445576667785645,4.9445576667785645
107,1.938063383102417,1.938063383102417,4.917929649353027,4.917929649353027
108,1.9309207201004028,1.9309207201004028,5.090409755706787,5.090409755706787
109,1.9278829097747803,1.9278829097747803,5.203615665435791,5.203615665435791
