epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,33.724945068359375,33.724945068359375,54.969844818115234,54.969844818115234
1,32.478267669677734,32.478267669677734,54.5421028137207,54.5421028137207
2,32.21287155151367,32.21287155151367,53.7952995300293,53.7952995300293
3,32.047489166259766,32.047489166259766,53.83976364135742,53.83976364135742
0,6.856250762939453,6.856250762939453,10.273176193237305,10.273176193237305
1,4.03044319152832,4.03044319152832,8.733426094055176,8.733426094055176
2,3.5880239009857178,3.5880239009857178,7.843449592590332,7.843449592590332
3,3.332515239715576,3.332515239715576,7.44665002822876,7.44665002822876
4,3.171454429626465,3.171454429626465,7.137516498565674,7.137516498565674
5,3.0629842281341553,3.0629842281341553,6.934621334075928,6.934621334075928
6,3.001176118850708,3.001176118850708,6.616226673126221,6.616226673126221
7,2.8883073329925537,2.8883073329925537,6.414938926696777,6.414938449859619
8,2.8310048580169678,2.8310048580169678,5.966093063354492,5.966093063354492
9,2.761263370513916,2.761263370513916,6.053766250610352,6.053766250610352
10,2.712702512741089,2.712702512741089,5.959295272827148,5.959295272827148
11,2.683267593383789,2.683267593383789,5.823180675506592,5.823180675506592
12,2.635554313659668,2.635554313659668,5.852304458618164,5.852304458618164
13,2.644148349761963,2.644148349761963,5.644763946533203,5.644763946533203
14,2.5772650241851807,2.5772650241851807,6.467555046081543,6.467555046081543
15,2.548318386077881,2.548318386077881,5.8055877685546875,5.8055877685546875
16,2.5144095420837402,2.5144095420837402,5.603453159332275,5.603453159332275
17,2.5108582973480225,2.5108582973480225,5.683450698852539,5.683450698852539
18,2.4822561740875244,2.4822561740875244,5.580560684204102,5.580560684204102
19,2.464022159576416,2.464022159576416,5.321573257446289,5.321573257446289
20,2.463404893875122,2.463404893875122,5.4425950050354,5.4425950050354
21,2.4175033569335938,2.4175033569335938,5.368892669677734,5.368892669677734
22,2.4115593433380127,2.4115593433380127,5.215062141418457,5.215062141418457
23,2.407174587249756,2.407174587249756,5.211197376251221,5.211197376251221
24,2.3799972534179688,2.3799972534179688,5.186956405639648,5.186956405639648
25,2.377981662750244,2.377981662750244,5.31643533706665,5.31643533706665
26,2.366250514984131,2.366250514984131,5.11086368560791,5.11086368560791
27,2.354846477508545,2.354846477508545,5.167111873626709,5.167111873626709
28,2.345752000808716,2.345752000808716,5.290002346038818,5.290002346038818
29,2.322251319885254,2.322251319885254,4.99794864654541,4.99794864654541
30,2.323453426361084,2.323453426361084,5.043986797332764,5.0439863204956055
31,2.3249776363372803,2.3249776363372803,5.134398460388184,5.134398460388184
32,2.277780532836914,2.277780532836914,5.095796585083008,5.095796585083008
33,2.2855122089385986,2.2855122089385986,5.217728614807129,5.217728614807129
34,2.277758836746216,2.277758836746216,5.149010181427002,5.149010181427002
35,2.2682368755340576,2.2682368755340576,5.252991676330566,5.252991676330566
36,2.2705397605895996,2.2705397605895996,5.008504390716553,5.008504390716553
37,2.269561767578125,2.269561767578125,4.9735212326049805,4.9735212326049805
38,2.22800874710083,2.22800874710083,5.187264919281006,5.187264919281006
39,2.2151856422424316,2.2151856422424316,5.004075050354004,5.004075050354004
40,2.2254245281219482,2.2254245281219482,5.0209197998046875,5.0209197998046875
41,2.2026960849761963,2.2026960849761963,5.036778450012207,5.036778450012207
42,2.208186388015747,2.208186388015747,5.1662702560424805,5.1662702560424805
43,2.1921920776367188,2.1921920776367188,4.828263759613037,4.828263759613037
44,2.171531915664673,2.171531915664673,4.869103908538818,4.869103908538818
45,2.1893906593322754,2.1893906593322754,4.968508243560791,4.968508243560791
46,2.148056745529175,2.148056745529175,4.990415573120117,4.990415573120117
47,2.1742029190063477,2.174203395843506,4.953535556793213,4.953535556793213
48,2.1914737224578857,2.1914737224578857,4.803576946258545,4.803576946258545
49,2.138658046722412,2.138658046722412,5.011160850524902,5.011160850524902
50,2.157508373260498,2.157508373260498,4.831676959991455,4.831676959991455
51,2.133439779281616,2.133439779281616,5.078289985656738,5.078289985656738
52,2.1231529712677,2.1231529712677,4.9341559410095215,4.9341559410095215
53,2.1257517337799072,2.1257517337799072,4.907557010650635,4.907557010650635
54,2.114569664001465,2.114569664001465,4.938974857330322,4.938974857330322
55,2.1342058181762695,2.1342058181762695,5.89838981628418,5.89838981628418
56,2.1191976070404053,2.1191976070404053,4.859272480010986,4.859272480010986
57,2.138935089111328,2.138935089111328,4.665947914123535,4.665947914123535
58,2.106278657913208,2.106278657913208,4.9542059898376465,4.9542059898376465
59,2.100172758102417,2.100172758102417,5.033474922180176,5.033475399017334
60,2.103996515274048,2.103996515274048,4.9024529457092285,4.9024529457092285
61,2.0841927528381348,2.0841927528381348,4.8639678955078125,4.8639678955078125
62,2.085829257965088,2.085829257965088,5.00626277923584,5.00626277923584
63,2.0734219551086426,2.0734219551086426,4.790204048156738,4.7902045249938965
64,2.071249485015869,2.071249485015869,4.978679656982422,4.978679656982422
65,2.061386823654175,2.061386823654175,4.789214611053467,4.789214611053467
66,2.0735793113708496,2.0735793113708496,4.821803569793701,4.821803569793701
67,2.068685531616211,2.068685531616211,4.748436450958252,4.748436450958252
68,2.0637848377227783,2.0637848377227783,5.282984256744385,5.282984256744385
69,2.0625510215759277,2.0625510215759277,4.701430320739746,4.701430320739746
70,2.0487287044525146,2.0487284660339355,4.763065814971924,4.763065814971924
71,2.048121213912964,2.048121452331543,4.900245189666748,4.900245189666748
72,2.0415916442871094,2.0415918827056885,5.049504280090332,5.049504280090332
73,2.0365002155303955,2.0365002155303955,4.768356800079346,4.768356800079346
74,2.0416345596313477,2.0416345596313477,4.925139904022217,4.925139904022217
75,2.0256712436676025,2.0256712436676025,4.975137233734131,4.975137233734131
76,2.0264015197753906,2.0264015197753906,4.785248756408691,4.785248279571533
77,2.0087997913360596,2.0087997913360596,4.963085651397705,4.963085651397705
78,2.0257279872894287,2.0257279872894287,4.845445156097412,4.845444202423096
79,2.016658306121826,2.016658306121826,4.941590785980225,4.941590785980225
80,2.023496150970459,2.023496150970459,4.855759143829346,4.855759143829346
81,1.9985636472702026,1.9985636472702026,4.803682804107666,4.803682804107666
82,1.9982858896255493,1.9982858896255493,4.716995716094971,4.716995716094971
83,2.005397081375122,2.005397081375122,4.818045139312744,4.818045139312744
84,1.996297001838684,1.996297001838684,4.985451698303223,4.985451698303223
85,1.9835693836212158,1.9835693836212158,4.854621410369873,4.854621410369873
86,1.996849775314331,1.996849775314331,4.94400691986084,4.94400691986084
87,1.990501880645752,1.990501880645752,4.845908164978027,4.845908164978027
88,1.9763212203979492,1.9763212203979492,4.938777923583984,4.938777923583984
89,1.987050175666809,1.987050175666809,4.7166666984558105,4.7166666984558105
90,1.9752691984176636,1.9752691984176636,4.9204325675964355,4.9204325675964355
91,1.9818010330200195,1.9818010330200195,4.775726795196533,4.775726795196533
92,1.9693950414657593,1.9693950414657593,4.7905378341674805,4.7905378341674805
93,1.960633397102356,1.960633397102356,4.737955570220947,4.737955570220947
94,1.9725902080535889,1.9725902080535889,4.6107378005981445,4.6107378005981445
95,1.963735818862915,1.963735818862915,4.752171516418457,4.752171516418457
96,1.9610413312911987,1.9610413312911987,4.744566917419434,4.744566917419434
97,1.9550580978393555,1.955057978630066,4.850601673126221,4.850601673126221
98,1.9685895442962646,1.9685895442962646,4.697774410247803,4.697774410247803
99,1.954390048980713,1.9543898105621338,4.756786823272705,4.756786823272705
100,1.949764609336853,1.949764609336853,4.834226608276367,4.834226608276367
101,1.9443469047546387,1.9443469047546387,4.915138244628906,4.915138244628906
102,1.942522644996643,1.942522644996643,4.637490749359131,4.637490749359131
103,1.9454327821731567,1.9454327821731567,4.699985504150391,4.699985504150391
